Datetime,Average_Receive_bps,Average_Transmit_bps
2023-06-24 09:15:00,339647712.0,96199216.0
2023-06-24 09:20:00,339584512.0,87596512.0
2023-06-24 09:25:00,339584512.0,87596512.0
2023-06-24 09:30:00,339550624.0,80612968.0
2023-06-24 09:35:00,339550624.0,80612968.0
2023-06-24 09:40:00,339575168.0,74737968.0
2023-06-24 09:45:00,339575168.0,74737968.0
2023-06-24 09:50:00,336909312.0,69979832.0
2023-06-24 09:55:00,336909312.0,69979832.0
2023-06-24 10:00:00,338878368.0,74172376.0
2023-06-24 10:05:00,338878368.0,74172376.0
2023-06-24 10:10:00,338818240.0,57278352.0
2023-06-24 10:15:00,338818240.0,57278352.0
2023-06-24 10:20:00,337422592.0,50634984.0
2023-06-24 10:25:00,337422592.0,50634984.0
2023-06-24 10:30:00,336568416.0,48724260.0
2023-06-24 10:35:00,336568416.0,48724260.0
2023-06-24 10:40:00,338786272.0,47495820.0
2023-06-24 10:45:00,338786272.0,47495820.0
2023-06-24 10:50:00,337706848.0,40910536.0
2023-06-24 10:55:00,337706848.0,40910536.0
2023-06-24 11:00:00,338665632.0,38332292.0
2023-06-24 11:05:00,338665632.0,38332292.0
2023-06-24 11:10:00,337766400.0,37770088.0
2023-06-24 11:15:00,337766400.0,37770088.0
2023-06-24 11:20:00,338341888.0,37180376.0
2023-06-24 11:25:00,338341888.0,37180376.0
2023-06-24 11:30:00,333619840.0,33261796.0
2023-06-24 11:35:00,333619840.0,33261796.0
2023-06-24 11:40:00,342311776.0,34941904.0
2023-06-24 11:45:00,342311776.0,34941904.0
2023-06-24 11:50:00,337600448.0,34690480.0
2023-06-24 11:55:00,337600448.0,34690480.0
2023-06-24 12:00:00,338841568.0,36454588.0
2023-06-24 12:05:00,338841568.0,36454588.0
2023-06-24 12:10:00,337509504.0,35345264.0
2023-06-24 12:15:00,337509504.0,35345264.0
2023-06-24 12:20:00,338828352.0,41983152.0
2023-06-24 12:25:00,338828352.0,41983152.0
2023-06-24 12:30:00,338407424.0,41283640.0
2023-06-24 12:35:00,338407424.0,41283640.0
2023-06-24 12:40:00,338303904.0,43175248.0
2023-06-24 12:45:00,338303904.0,43175248.0
2023-06-24 12:50:00,339058848.0,42527456.0
2023-06-24 12:55:00,339058848.0,42527456.0
2023-06-24 13:00:00,338733568.0,41696208.0
2023-06-24 13:05:00,338733568.0,41696208.0
2023-06-24 13:10:00,337719456.0,38802068.0
2023-06-24 13:15:00,337719456.0,38802068.0
